SITE CODE= 77029 ëÂç„ñkãÊíÉâÆí¨
 LAT.=   34.7054
 LON.=  135.5023
 SAMPLING RATE= 100Hz
 UNIT  = gal(cm/s/s)
INITIAL TIME = 2018 06 18 07 58 20
 NS,EW,UD
0.032,0.025,-0.069
-0.017,-0.014,-0.081
0.005,-0.032,-0.055
0.029,0.006,0.000
0.039,0.008,0.014
0.024,-0.021,0.041
-0.022,-0.023,0.000
0.002,-0.034,-0.013
0.002,-0.011,0.051
-0.034,0.029,0.016
-0.015,-0.011,-0.028
-0.005,-0.017,-0.064
-0.020,-0.011,-0.078
0.008,-0.014,0.051
0.034,0.031,0.094
0.006,0.019,-0.040
-0.013,0.006,-0.118
-0.006,0.010,-0.082
-0.011,0.008,0.007
-0.053,0.026,0.062
-0.046,0.010,0.019
0.021,0.020,-0.017
0.024,0.034,0.007
0.004,0.019,0.019
0.002,0.016,0.005
-0.025,-0.017,0.018
-0.020,-0.044,0.049
0.004,-0.031,0.053
0.033,-0.015,0.050
0.054,-0.003,0.036
0.037,0.009,-0.001
0.015,0.035,-0.015
-0.020,0.040,0.003
-0.037,0.005,-0.005
0.011,0.004,-0.055
0.031,0.011,-0.065
-0.001,-0.029,-0.046
-0.021,-0.044,-0.030
-0.057,-0.007,0.019
-0.059,0.005,0.038
0.011,0.013,-0.021
0.074,0.032,-0.063
0.104,0.009,0.053
0.020,0.007,0.175
-0.078,0.056,0.042
-0.021,0.051,-0.121
0.035,-0.013,-0.072
-0.010,-0.036,-0.014
-0.008,-0.048,-0.035
0.049,-0.045,0.029
0.001,0.019,0.023
-0.030,0.030,-0.071
0.017,0.029,-0.034
-0.003,0.027,-0.034
-0.003,-0.044,-0.078
0.041,-0.060,-0.006
0.018,-0.038,0.098
-0.006,0.003,0.110
-0.001,0.060,0.001
-0.030,0.027,-0.041
-0.039,-0.014,-0.046
0.022,-0.017,-0.061
0.026,-0.021,0.039
-0.030,-0.005,0.049
-0.030,-0.013,-0.015
0.000,-0.037,0.008
0.012,-0.017,0.039
-0.004,0.006,0.078
-0.033,0.019,0.051
-0.077,0.022,-0.037
-0.070,0.002,-0.050
0.020,0.004,-0.020
0.071,0.009,-0.034
0.093,0.012,-0.014
0.075,0.019,0.070
-0.006,0.023,0.072
-0.049,0.048,0.033
-0.070,0.019,0.003
-0.036,-0.021,-0.036
0.032,-0.004,-0.033
0.036,-0.011,-0.045
0.060,-0.021,-0.019
0.035,-0.026,0.043
-0.045,-0.019,0.080
-0.036,0.010,0.077
-0.010,0.007,-0.021
0.000,0.013,-0.083
0.016,0.015,-0.119
0.043,-0.004,-0.139
0.041,-0.002,-0.011
-0.010,0.004,0.092
-0.015,0.019,0.056
-0.004,0.002,-0.017
-0.021,-0.021,-0.041
-0.019,-0.014,-0.076
0.008,-0.032,-0.062
-0.001,0.006,0.054
-0.036,0.048,0.056
0.025,-0.006,0.090
0.035,-0.001,0.159
-0.064,-0.010,0.049
-0.065,-0.068,-0.016
-0.034,-0.031,-0.035
-0.030,-0.006,-0.051
0.012,0.011,-0.043
0.019,0.048,-0.100
-0.001,0.009,-0.065
0.034,-0.011,0.000
0.059,-0.006,0.012
0.018,0.011,0.033
-0.001,0.038,0.004
0.026,0.001,-0.023
0.055,-0.019,-0.033
0.029,-0.025,-0.012
-0.015,-0.028,0.031
0.008,0.009,0.054
0.007,0.016,0.054
-0.020,0.003,0.004
0.026,-0.003,-0.010
0.030,-0.013,-0.009
-0.016,-0.015,-0.012
-0.027,0.013,0.027
-0.042,0.053,0.043
-0.046,0.051,0.046
-0.025,0.009,0.016
0.025,-0.029,-0.030
0.059,-0.029,-0.012
0.019,-0.028,0.000
0.009,-0.020,-0.016
0.022,0.015,-0.008
0.001,0.018,-0.021
0.000,-0.005,-0.060
0.019,-0.024,-0.055
-0.016,-0.035,-0.013
-0.056,-0.023,-0.013
-0.016,0.008,-0.062
0.023,0.020,-0.045
0.016,0.018,0.079
-0.014,0.037,0.185
-0.016,0.040,0.117
0.011,0.006,-0.022
-0.034,-0.022,-0.049
-0.069,-0.035,-0.031
-0.030,-0.030,-0.025
-0.020,0.009,-0.059
-0.008,0.012,-0.092
0.034,-0.003,-0.012
0.035,0.031,0.055
0.015,0.019,0.058
0.045,0.009,0.036
0.035,0.039,-0.005
-0.040,0.002,0.028
-0.035,-0.024,0.021
-0.003,-0.014,-0.039
-0.025,-0.003,-0.006
-0.011,0.000,-0.006
0.023,-0.034,-0.012
0.031,-0.043,0.009
0.017,-0.033,-0.006
-0.025,-0.021,0.021
-0.041,0.013,0.027
-0.036,0.003,0.003
0.002,-0.011,-0.010
0.053,0.022,-0.025
0.007,0.017,0.002
-0.039,-0.012,0.023
-0.004,0.003,0.014
0.038,0.014,0.016
0.016,-0.012,0.036
-0.021,-0.034,0.028
-0.007,0.004,0.000
-0.015,0.028,-0.037
-0.030,0.003,-0.080
-0.009,0.013,-0.080
0.019,0.021,-0.040
0.026,0.023,0.012
0.031,0.021,0.027
0.057,0.014,0.029
0.037,0.008,0.057
0.001,-0.015,0.049
-0.016,-0.020,-0.004
-0.033,-0.031,-0.042
-0.023,-0.036,-0.039
0.001,-0.009,-0.051
0.033,0.014,-0.059
0.018,0.013,-0.007
0.001,-0.014,0.075
0.015,0.008,0.098
-0.004,0.024,-0.029
0.018,-0.006,-0.109
0.038,0.008,-0.044
-0.003,0.007,0.004
-0.033,0.028,0.011
-0.057,0.055,-0.019
-0.060,-0.003,-0.006
-0.049,-0.019,0.067
-0.016,-0.022,0.069
0.028,-0.054,0.033
0.012,-0.031,-0.014
-0.011,-0.025,-0.028
0.005,-0.005,0.000
0.019,0.028,-0.021
0.000,-0.016,-0.002
0.014,-0.049,0.016
0.030,-0.056,-0.005
-0.009,-0.043,0.009
0.013,0.003,-0.003
0.043,0.019,0.016
0.003,0.065,0.009
-0.018,0.090,-0.069
-0.026,0.025,-0.038
-0.025,-0.001,-0.006
0.006,0.018,-0.036
0.039,0.011,-0.005
0.029,-0.018,0.029
0.009,0.000,0.036
0.008,0.016,0.040
-0.017,-0.021,0.014
-0.026,-0.029,-0.032
-0.032,-0.034,-0.023
-0.035,-0.017,0.002
0.016,0.023,-0.005
0.032,0.003,-0.007
0.016,-0.018,-0.003
