SITE CODE= 65034’·‰ªŽs’†”V“‡            ,37.4962,137.2705, 15.86,7.6,45292.6738723, 23.12, 39.73
 LAT.=   37.5478
 LON.=  138.8773
 SAMPLING RATE= 100Hz
 UNIT  = gal(cm/s/s)
INITIAL TIME = 2024 01 01 16 10 30
 NS,EW,UD
-0.257,0.200,0.836
-0.240,0.195,0.781
-0.208,0.202,0.711
-0.158,0.184,0.562
-0.092,0.155,0.360
-0.022,0.119,0.165
0.039,0.074,0.027
0.076,0.020,-0.036
0.081,-0.019,-0.021
0.054,0.000,0.041
0.024,0.039,0.067
0.023,0.041,-0.010
0.064,-0.016,-0.205
0.132,-0.098,-0.458
0.211,-0.160,-0.686
0.280,-0.207,-0.815
0.321,-0.246,-0.770
0.329,-0.277,-0.532
0.324,-0.307,-0.166
0.336,-0.347,0.196
0.351,-0.406,0.416
0.355,-0.461,0.429
0.345,-0.494,0.277
0.319,-0.510,0.062
0.280,-0.499,-0.111
0.217,-0.438,-0.194
0.133,-0.332,-0.216
0.046,-0.218,-0.214
-0.031,-0.119,-0.206
-0.095,-0.054,-0.179
-0.166,-0.032,-0.174
-0.247,-0.021,-0.242
-0.335,0.033,-0.366
-0.413,0.147,-0.507
-0.477,0.288,-0.588
-0.520,0.412,-0.556
-0.531,0.489,-0.420
-0.530,0.547,-0.223
-0.521,0.614,-0.041
-0.499,0.678,0.103
-0.456,0.716,0.233
-0.385,0.703,0.340
-0.311,0.667,0.360
-0.229,0.623,0.278
-0.148,0.576,0.197
-0.085,0.534,0.248
-0.020,0.469,0.420
0.058,0.384,0.548
0.163,0.278,0.472
0.278,0.175,0.166
0.372,0.078,-0.229
0.444,-0.062,-0.549
0.490,-0.250,-0.706
0.513,-0.442,-0.661
0.514,-0.566,-0.435
0.472,-0.617,-0.121
0.417,-0.659,0.127
0.394,-0.731,0.185
0.413,-0.844,0.053
0.445,-0.960,-0.147
0.455,-1.024,-0.288
0.414,-1.017,-0.336
0.342,-0.944,-0.366
0.286,-0.841,-0.467
0.256,-0.749,-0.638
0.235,-0.681,-0.791
