SITE CODE= 47274éÏèFéséOçËí¨            ,37.4962,137.2705, 15.86,7.6,45292.6738723,  3.16,  5.38
 LAT.=   37.4504
 LON.=  137.3589
 SAMPLING RATE= 100Hz
 UNIT  = gal(cm/s/s)
INITIAL TIME = 2024 01 01 16 09 50
 NS,EW,UD
0.046,0.031,-0.002
0.005,0.000,-0.010
-0.019,-0.015,-0.026
-0.012,-0.019,-0.025
0.014,-0.013,-0.002
0.042,0.000,0.015
0.061,0.013,0.004
0.060,0.016,-0.015
0.036,0.009,-0.010
0.002,-0.000,0.015
-0.016,-0.009,0.023
-0.004,-0.019,0.002
0.026,-0.023,-0.018
0.049,-0.014,-0.011
0.047,0.001,0.005
0.024,0.004,0.002
0.001,-0.008,-0.008
-0.005,-0.019,-0.000
0.003,-0.013,0.015
0.008,0.001,0.008
0.001,0.006,-0.015
-0.006,0.005,-0.019
0.005,0.009,0.004
0.035,0.019,0.018
0.060,0.016,0.004
0.055,-0.006,-0.009
0.025,-0.030,0.004
-0.007,-0.032,0.024
-0.018,-0.015,0.018
-0.009,0.004,-0.006
0.007,0.016,-0.015
0.017,0.026,-0.004
0.015,0.036,0.008
0.004,0.037,0.010
-0.003,0.026,0.010
0.005,0.010,0.010
0.022,-0.005,0.006
0.034,-0.020,0.000
0.030,-0.039,0.003
0.020,-0.050,0.009
0.016,-0.036,0.005
0.015,-0.002,-0.004
0.006,0.027,0.000
-0.006,0.031,0.014
-0.007,0.013,0.015
0.005,-0.008,-0.002
0.015,-0.017,-0.013
0.010,-0.014,-0.001
-0.007,-0.005,0.019
-0.018,0.006,0.023
-0.016,0.009,0.009
-0.005,-0.000,-0.003
0.012,-0.021,-0.000
0.026,-0.035,0.011
0.026,-0.028,0.018
0.006,-0.004,0.013
-0.020,0.015,0.002
-0.028,0.013,-0.004
-0.014,-0.003,0.003
0.006,-0.017,0.012
0.018,-0.017,0.010
0.020,-0.003,0.001
0.018,0.018,0.002
0.007,0.029,0.015
-0.011,0.022,0.022
-0.025,-0.003,0.010
-0.023,-0.029,-0.005
-0.008,-0.037,-0.005
0.002,-0.024,0.008
0.004,0.002,0.015
0.003,0.029,0.010
0.005,0.043,0.005
0.001,0.034,0.009
-0.009,0.002,0.017
-0.011,-0.032,0.021
0.003,-0.042,0.017
0.024,-0.022,0.006
0.031,0.010,-0.003
0.019,0.030,-0.006
0.003,0.031,0.000
-0.010,0.020,0.008
-0.023,0.004,0.011
-0.033,-0.014,0.009
-0.028,-0.025,0.007
0.000,-0.023,0.006
0.033,-0.009,0.007
0.040,0.010,0.013
0.017,0.023,0.022
-0.014,0.026,0.020
-0.029,0.017,0.004
-0.026,0.001,-0.013
-0.020,-0.012,-0.013
-0.014,-0.010,0.001
-0.005,0.005,0.011
0.007,0.023,0.010
0.012,0.031,0.005
0.002,0.024,0.004
-0.016,0.010,0.004
-0.027,0.000,0.004
-0.026,0.002,0.010
-0.016,0.013,0.021
-0.008,0.022,0.021
-0.009,0.021,0.008
-0.015,0.011,-0.007
-0.019,-0.001,-0.007
-0.015,-0.010,0.006
-0.008,-0.016,0.013
-0.006,-0.015,0.010
-0.011,-0.001,0.004
-0.018,0.022,0.006
-0.022,0.040,0.012
-0.023,0.040,0.013
-0.019,0.023,0.006
-0.009,0.003,-0.002
0.003,-0.006,-0.001
0.008,0.001,0.012
-0.001,0.017,0.024
-0.018,0.033,0.023
-0.030,0.041,0.011
-0.031,0.036,0.004
-0.026,0.021,0.010
-0.022,0.006,0.013
-0.020,-0.001,0.004
-0.015,0.005,-0.003
-0.008,0.017,0.009
-0.004,0.024,0.026
-0.006,0.017,0.023
-0.016,0.002,-0.000
-0.030,-0.006,-0.013
-0.037,0.004,0.002
-0.032,0.022,0.019
-0.017,0.031,0.014
-0.002,0.024,-0.003
0.002,0.013,-0.006
-0.002,0.013,0.004
-0.011,0.023,0.006
-0.018,0.028,-0.002
-0.020,0.019,-0.002
-0.014,0.002,0.010
-0.003,-0.009,0.015
0.004,-0.008,0.005
-0.002,0.001,-0.007
-0.018,0.013,-0.004
-0.031,0.020,0.008
-0.035,0.018,0.012
-0.026,0.008,0.008
-0.009,0.002,0.005
0.007,0.007,0.003
0.009,0.017,-0.004
-0.002,0.017,-0.012
-0.014,0.003,-0.010
-0.014,-0.015,0.000
-0.006,-0.020,0.006
-0.006,-0.005,0.002
-0.016,0.021,-0.001
-0.024,0.037,0.003
-0.016,0.028,0.009
0.001,-0.003,0.006
0.010,-0.035,-0.004
0.002,-0.042,-0.014
-0.014,-0.017,-0.014
-0.025,0.021,-0.004
-0.023,0.042,0.010
-0.007,0.031,0.015
0.013,-0.001,0.006
0.021,-0.029,-0.006
0.009,-0.031,-0.008
-0.012,-0.011,-0.002
-0.022,0.009,0.003
-0.014,0.011,0.004
-0.000,-0.007,0.006
0.004,-0.029,0.011
0.000,-0.040,0.010
-0.003,-0.034,-0.000
-0.001,-0.019,-0.010
-0.001,-0.005,-0.007
-0.004,0.003,0.007
-0.005,0.002,0.018
-0.000,-0.006,0.019
0.004,-0.018,0.011
0.003,-0.027,0.002
-0.002,-0.030,-0.002
-0.005,-0.028,0.002
-0.006,-0.028,0.010
-0.006,-0.031,0.015
-0.003,-0.027,0.009
0.005,-0.015,-0.002
0.015,-0.003,-0.004
